Name,Race + Description,Class,Species,Faction,Level
Harlund Ironhowl,Dachshund Full-Metal Champion,Brawler,Dog,Howlmark Creed,Veteran
Barrox Ironpaw,Newfoundland Lighthouse Garrison,Brawler,Dog,Howlmark Creed,Rookie
Jorren Brighthowl,African Wild Dog Barbarian,Brawler,Dog,Howlmark Creed,Veteran
Daro Swiftlash,Shiba Inu Whip Bandit,Lancer,Dog,Howlmark Creed,Rookie
Keera Stonesnout,Belgian Malinois Dimachaerus,Lancer,Dog,Howlmark Creed,Veteran
Larrin Driftmark,Golden Retriever Sniper,Shooter,Dog,Howlmark Creed,Rookie
Cassa Thornpelt,Saluki Blade Hurler,Shooter,Dog,Howlmark Creed,Veteran
Solomon the Bound,Afghan Hound Mooncaster,Caster,Dog,Howlmark Creed,Veteran
Fenn Talonstrike,Cardinal Swordmaster,Brawler,Bird,Skyward Kin,Rookie
Torra Anvilcrest,Black Headed Parrot Warhammer,Brawler,Bird,Skyward Kin,Veteran
Korrin Windfeather,Gray Heron Spear Master,Lancer,Bird,Skyward Kin,Rookie
Rowka Stonewing,Secretary Bird Halberdier,Lancer,Bird,Skyward Kin,Veteran
Lyra Keenfang,Northern Harrier Grenadier,Shooter,Bird,Skyward Kin,Veteran
Luma Flintwing,Kingfisher Slingshot,Shooter,Bird,Skyward Kin,Rookie
Ardan Quillsong,Flamingo Black Mage,Caster,Bird,Skyward Kin,Veteran
Chronir Stillmarch,Emperor Penguin Time Mage,Caster,Bird,Skyward Kin,Veteran
Rinn Mossburn,American Pine Marten Shinobi,Brawler,Mustelid,Whisperfang Watch,Rookie
Vaela Strayshield,Cloud Leopard Gladiator,Brawler,Cat,Whisperfang Watch,Veteran
Haskel Moorwake,Himalayan Sea Raider,Brawler,Cat,Whisperfang Watch,Veteran
Nyss Shadowstep,Oriental Shorthair Pikequeen,Lancer,Cat,Whisperfang Watch,Veteran
Sarro Chitterfang,Sand Cat Dune Ranger,Lancer,Cat,Whisperfang Watch,Rookie
Tival Embercoat,Norwegian Forest Hunter,Shooter,Cat,Whisperfang Watch,Veteran
Thira Mistpaw,Caracal Archer,Shooter,Cat,Whisperfang Watch,Rookie
Senya Longtail,Orange Cat Witch,Caster,Cat,Whisperfang Watch,Veteran
Kraska Mudtongue,Poison Dart Frog Soldier,Brawler,Amphibian,Scalebound Brood,Rookie
Grolk Hollowjaw,American Crocodile Dark Knight,Brawler,Reptile,Scalebound Brood,Veteran
Braskin Coilmail,Gila Monster Dragoon,Lancer,Reptile,Scalebound Brood,Veteran
Pex Rippleclaw,Axolotl Uhlan,Lancer,Amphibian,Scalebound Brood,Rookie
Rokklo Flickbranch,Gecko Boomerang Hunter,Shooter,Reptile,Scalebound Brood,Veteran
Mira Skytwitch,Flying Tree Frog Marksfrog,Shooter,Amphibian,Scalebound Brood,Rookie
Iktha Embercoil,Fire-Bellied Newt Illusionist,Caster,Amphibian,Scalebound Brood,Veteran
Mivara Duskscale,Panther Chameleon Conjurer,Caster,Reptile,Scalebound Brood,Veteran
